nv,mu,phi,r0_small,r0_large
11,0.0917953340839378,0.8136904859435902,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435903,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435862,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435924,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756713,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756297,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.814577163575677,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756739,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756627,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756623,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756738,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756756,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756305,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.8145771635756712,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380505,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380609,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380607,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380595,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380582,1.0017517517517518,1.3996496496496498
19,0.0949963704011567,0.8160557997380568,0.9992492492492493,1.3996496496496498
19,0.0949963704011567,0.8160557997380561,0.9992492492492493,1.3996496496496498
